生成元プロンプト,生成ファイル,学習項目ID,レベル,IRT困難度,推定誤差,識別力(a),主な能力,推定理由
m-jh3-A-02-01b.txt,m-jh3-A-02-01b-generated-01.txt,3-A-02-01,基礎レベル,205,±10,1.1,共通因数の発見・くくり出し,2項で共通因数3xyを見つける基本問題で、係数と文字の共通部分を確認できれば解けるため。
m-jh3-A-02-01s.txt,m-jh3-A-02-01s-generated-01.txt,3-A-02-01,標準レベル,234,±10,1.3,負の共通因数を含むくくり出し,3項式で先頭が負のため、-4abでくくる判断が必要になるため。
m-jh3-A-02-02b.txt,m-jh3-A-02-02b-generated-01.txt,3-A-02-02,基礎レベル,208,±10,1.1,積と和から因数を探す,正の積と正の和から自然数の組を探す定型問題であるため。
m-jh3-A-02-02s.txt,m-jh3-A-02-02s-generated-01.txt,3-A-02-02,標準レベル,238,±10,1.3,符号を含む積と和の探索,積が負で和も負になる組を探すため、符号判断が1段階増えるため。
m-jh3-A-02-03b.txt,m-jh3-A-02-03b-generated-01.txt,3-A-02-03,基礎レベル,211,±10,1.1,平方公式の直接適用,x^2-2ax+a^2の形を確認して公式に当てはめる基本問題であるため。
m-jh3-A-02-03s.txt,m-jh3-A-02-03s-generated-01.txt,3-A-02-03,標準レベル,242,±10,1.3,A^2+2AB+B^2の構造認識,先頭がx^2ではなく25x^2なので、5xを1つのまとまりとして見る必要があるため。
m-jh3-A-02-04b.txt,m-jh3-A-02-04b-generated-01.txt,3-A-02-04,基礎レベル,214,±10,1.1,平方の差の公式適用,x^2-81をx^2-9^2と見れば公式を直接使えるため。
m-jh3-A-02-04s.txt,m-jh3-A-02-04s-generated-01.txt,3-A-02-04,標準レベル,244,±10,1.3,係数と文字を含む平方の差の認識,36x^2と121y^2をそれぞれ(6x)^2と(11y)^2に直す必要があるため。
m-jh3-A-02-05b.txt,m-jh3-A-02-05b-generated-01.txt,3-A-02-05,基礎レベル,218,±10,1.2,共通因数と平方の差の組み合わせ,共通因数でくくったあと平方の差を使う2段階の基本問題であるため。
m-jh3-A-02-05s.txt,m-jh3-A-02-05s-generated-01.txt,3-A-02-05,標準レベル,248,±10,1.4,共通因数と平方公式の複合適用,共通因数4でくくったあと、かっこの中を平方公式で見抜く複合処理が必要なため。
