ファイル名,学習項目ID,単元,学習項目,問題番号,レベル判定,IRT困難度,推定誤差,識別力(a),主な能力,前提知識,判定理由,基礎レベルと標準レベルの作問方針の違い
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題1,基礎レベル,14,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題2,基礎レベル,17,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題3,基礎レベル,25,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題4,基礎レベル,23,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題5,基礎レベル,26,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題6,基礎レベル,34,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題7,基礎レベル,37,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題8,基礎レベル,38,±10,1.0,正負の概念・数の分類,小学校の数・数直線,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01s.txt,1-A-01-01,正と負の数－正と負,正と負,問題1,標準レベル,60,±10,1.2,基準と正負の向きの読み取り,小学校の数・数直線・正負の数の意味,基準点と正の向きを読み取り、小数や分数を含む移動量を符号付きの数で表す必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-01s.txt,1-A-01-01,正と負の数－正と負,正と負,問題2,標準レベル,65,±10,1.2,反対の意味を負の数で表す判断,小学校の数・数直線・正負の数の意味,気温・収支・点数のように場面ごとに基準と正の向きを読み替える必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
