ファイル名,学習項目ID,単元,学習項目,問題番号,レベル判定,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,主な能力,前提知識,判定理由,基礎レベルと標準レベルの作問方針の違い
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題1,基礎レベル,4.0,0.080,0.0140,0.700,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題2,基礎レベル,7.0,0.140,0.0144,0.720,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題3,基礎レベル,10.0,0.200,0.0148,0.740,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題4,基礎レベル,13.0,0.260,0.0152,0.760,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題5,基礎レベル,16.0,0.320,0.0152,0.760,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題6,基礎レベル,19.0,0.380,0.0152,0.760,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題7,基礎レベル,22.0,0.440,0.0152,0.760,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01b.txt,1-A-01-01,正と負の数－正と負,正と負,問題8,基礎レベル,25.0,0.500,0.0152,0.760,18.0,0.360,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01s.txt,1-A-01-01,正と負の数－正と負,正と負,問題1,標準レベル,20.6,0.412,0.0158,0.790,20.0,0.400,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
m-jh1-A-01-01s.txt,1-A-01-01,正と負の数－正と負,正と負,問題2,標準レベル,23.6,0.472,0.0162,0.810,20.0,0.400,数式処理・数量関係の理解,小学校算数の四則計算・数量関係,中1入学時平均を0、中3卒業時平均を300とする運用尺度で、学年内の学習順、問題レベル、問題文の特徴から校正した暫定値。基礎・標準問題は300超えを目標にせず、発展・模試過去問で300超えを扱う前提です。,基礎：用語・公式・計算手順を1つずつ確認する単問中心。標準：複数条件や式変形を組み合わせ、見通しをもって処理する問題を入れる。
